experiment_id,run_name,num_categories,num_subcategories,min,mean,max,stdev,distribution
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,"{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,"{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,"{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,"{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,1.69,"{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,1.79,"{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,2.9,"{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,2.92,"{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,2.9,0.9063,"{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,2.92,0.913,"{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,2.9,0.9831,"{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,2.92,0.9844,"{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,2.9,"(58, 64)","{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,2.92,"(63, 69)","{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,2.9,"(58, 64)","{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,2.92,"(63, 69)","{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Experiment1,2gemini_9d3ae74f,5,11,4,8.4,14,3.78,2.9,"(58, 59)","{'Loop and Path Puzzles': 10, 'Number Placement and Latin Squares': 4, 'Object Placement and Connection': 7, 'Region Division and Tiling': 7, 'Shading-Based Puzzles': 14}"
Experiment1,1openai_55b7eaf6,5,19,3,7.8,11,3.56,2.92,"(63, 64)","{'A) Draw a path/loop (no branching)': 11, 'B) Partition/tiling of the grid into regions (polyomino/rectangles/tiles)': 10, 'C) Cell shading/painting (binary: black/white) with structural/visibility rules': 10, 'D) Number/symbol placement in rows/columns/regions (Latin/arithmetic constraints)': 5, 'F) Object placement and line-of-sight counting (not pure shading)': 3}"
Exp1AcrossOpenAi,2openai_21d5d7ce,10,0,37,1,4.9,9,2.42,2.0,"(47, 48)","{'Black/white cell visibility and wall/obstacle placement': 7, 'Flow / propagation / spreading puzzles': 2, 'Number-placement puzzles (cell values must satisfy local/global rules)': 5, 'Pair-connection / noncrossing paths': 4, 'Partition the grid (region tiling / polyomino / rectangles)': 7, 'Sandwich/indirect placement games with arrow-like or “derived shape” rules': 4, 'Single-loop / circuit / “draw paths” constraints': 9, 'Snowflake/gear-like inference via constraints on edges/adjacency (arrows/line segments)': 4, 'Specific “polyline/paint/coverage” games (filling patterns with rules)': 6, '“Light / lamp” and illumination constraints': 1}"
Exp1AcrossOpenAi,1openai_5483c195,1,8,40,40,40,40,0.0,3.0,"(49, 50)",{'Grid-based logic games': 40}
Exp1AcrossOpenAi,1openai_5f7e13f7,8,0,41,8,11,15,2.62,2.0,"(49, 50)","{'Constraint-Placement / Symbol Logic Puzzles': 10, 'Loop Puzzles': 8, 'Mixed or Hybrid Grid Logic Puzzles': 12, 'Number Placement / Numerical Constraint Puzzles': 15, 'Path / Connection Puzzles': 8, 'Polyomino / Region-Shaping Puzzles': 13, 'Shading / Unshading Puzzles': 13, 'Visibility / Line-of-Sight Puzzles': 9}"
Exp1AcrossOpenAi,3openai_6594eca6,6,16,42,5,10.17,19,5.38,2.84,"(74, 75)","{'Hybrid Loop–Shading / Loop–Region Puzzles': 5, 'Loop / Path Construction Puzzles': 13, 'Placement Puzzles': 8, 'Region Division / Tiling / Polyomino Puzzles': 11, 'Sequence / Adjacency / Ordering Puzzles': 5, 'Shading / Unshading Puzzles': 19}"
Exp1AcrossOpenAi,3openai_827567f2,10,0,42,1,4.2,10,3.08,2.0,"(52, 53)","{'Bridges/Island graphs (connect dots with bridge counts)': 2, 'Grid coloring / dual-state (two-state black/white rules)': 5, 'Loop-drawing (closed/continuous loops)': 7, 'Number/Local arithmetic + placement (fill cells with numbers or propagate constraints)': 10, 'Pairing/Connectivity (link endpoints or ensure connectivity)': 1, 'Polyline/Path/Snake routes (noncrossing paths)': 2, 'Region partition / area subdivision (cut into regions with size/shape rules)': 7, 'Segment/Vertex tiling & placement (boundary/segment placement tilings)': 2, 'Visibility/Illumination (lights/see-rows-constraints)': 1, 'Walls/Borders/Separation (place walls or enforce separated regions)': 5}"
Exp1AcrossOpenAi,2openai_8b0a58f6,8,0,41,6,10.88,17,3.31,2.0,"(49, 50)","{'Connectivity/graph puzzles': 10, 'Directional/visibility/ray-based puzzles': 8, 'Exotic hybrid puzzles': 17, 'Loop and path puzzles': 13, 'Numeric constraint puzzles': 6, 'Polyomino tiling puzzles': 11, 'Region/area puzzles': 12, 'Shading puzzles': 10}"
Exp1AcrossOpenAi,1openai_a5d270cc,11,0,41,1,4.18,9,2.44,2.0,"(52, 53)","{'Chaining / Constraint Propagation Games': 3, 'Coloring / Black-White Constraint Games': 7, 'Counting/Placement with Adjacent-Rule Encodings': 3, 'Edge/Orientation Drawing Games': 3, 'Graph/Path Drawing Games': 9, 'Light/Visibility Games': 1, 'Loop/Area Partitioning with Polygons or Regions': 7, 'Number Fill / Tiling / Placement with Values': 4, 'Rectangular/Board-Covering / Polyomino-like Games': 4, 'Snake/Trail Games': 3, 'Specialized “Set/Choice” Logic Games': 2}"
Exp1AcrossOpenAi,3openai_d3eb7678,7,7,39,9,14,25,5.13,2.56,"(81, 82)","{'Black/White Cell Logic': 12, 'Cave / Visibility / Line-of-Sight Puzzles': 12, 'Clue Matching / Deduction Puzzles': 9, 'Loop / Path Puzzles': 14, 'Number / Region Puzzles': 25, 'Polyomino / Shape Placement Puzzles': 14, 'Symmetry / Adjacency / Local Rule Puzzles': 12}"
Exp1AcrossOpenAi,2openai_eef50d51,8,16,42,4,9.12,17,4.05,2.87,"(76, 77)","{'Hybrid loop–shading puzzles': 4, 'Hybrid region–shading puzzles': 6, 'Loop-drawing puzzles': 9, 'Path-connection and network puzzles': 9, 'Placement puzzles': 11, 'Region division and area partition puzzles': 11, 'Shading / painting puzzles': 17, 'Tiling and shape-packing puzzles': 6}"
Exp1AcrossOpenAi,2openai_21d5d7ce,10,0,37,1,4.9,9,2.42,2.0,"(47, 48)","{'Black/white cell visibility and wall/obstacle placement': 7, 'Flow / propagation / spreading puzzles': 2, 'Number-placement puzzles (cell values must satisfy local/global rules)': 5, 'Pair-connection / noncrossing paths': 4, 'Partition the grid (region tiling / polyomino / rectangles)': 7, 'Sandwich/indirect placement games with arrow-like or “derived shape” rules': 4, 'Single-loop / circuit / “draw paths” constraints': 9, 'Snowflake/gear-like inference via constraints on edges/adjacency (arrows/line segments)': 4, 'Specific “polyline/paint/coverage” games (filling patterns with rules)': 6, '“Light / lamp” and illumination constraints': 1}"
Exp1AcrossOpenAi,1openai_5483c195,1,8,40,40,40,40,0.0,3.0,"(49, 50)",{'Grid-based logic games': 40}
Exp1AcrossOpenAi,1openai_5f7e13f7,8,0,41,8,11,15,2.62,2.0,"(49, 50)","{'Constraint-Placement / Symbol Logic Puzzles': 10, 'Loop Puzzles': 8, 'Mixed or Hybrid Grid Logic Puzzles': 12, 'Number Placement / Numerical Constraint Puzzles': 15, 'Path / Connection Puzzles': 8, 'Polyomino / Region-Shaping Puzzles': 13, 'Shading / Unshading Puzzles': 13, 'Visibility / Line-of-Sight Puzzles': 9}"
Exp1AcrossOpenAi,3openai_6594eca6,6,16,42,5,10.17,19,5.38,2.84,"(74, 75)","{'Hybrid Loop–Shading / Loop–Region Puzzles': 5, 'Loop / Path Construction Puzzles': 13, 'Placement Puzzles': 8, 'Region Division / Tiling / Polyomino Puzzles': 11, 'Sequence / Adjacency / Ordering Puzzles': 5, 'Shading / Unshading Puzzles': 19}"
